RepeFonct,ElemSys,LibOccur,LineRev,ComponentKind,Contrat,Type,Manufact,ActuKind,ActuRef,PSU_ECS1,PSU_Volt1,CompartAlloc,t_CloseReq,ValvFailSfPositn,SGApp
-DCL4221RA-,-DCL,FRESH AIR ISL DMPR DCLm4,I.2,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DCL4221RAM,-DCL,FRESH AIR ISL DMPR MTR DCLm4,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LVI1101TB-,400,-LVI423AJC-,null,No,-
-DCL4301RA-,-DCL,MANUAL ISL DMPR DCLm4,I.2,Manual isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL4303RA-,-DCL,ISL DMPR UPSTR IOD LN 4,I.2,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DCL4303RAM,-DCL,ISL DMPR MTR UPSTR IOD LN 4,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LVI1101TB-,400,-LVI429AJC-,null,No,-
-DCL4304RA-,-DCL,ISL DMPR DNSTR IOD LN 4,I.2,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DCL4304RAM,-DCL,ISL DMPR MTR DNSTR IOD LN 4,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LVI1101TB-,400,-LVI249AJC-,null,No,-
-DCL4312RA-,-DCL,BAL DMPR IOD LN 4,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL4430RA-,-DCL,NON RETURN DMPR DCLm4,I.2,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL4434RA-,-DCL,BAL DMPR DCLm4,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL4441RA-,-DCL,NON RETURN DMPR FAN DCLm4,I.2,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL4443RA-,-DCL,AHU DNSTR BAL DMPR DCLm4,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL4445RA-,-DCL,AHU UPSTR BAL DMPR DCLm4,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL4451RA-,-DCL,AHU UPSTR ISL DMPR DCLm4,I.2,Manual isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL4452RA-,-DCL,RECIRC LN BAL DMPR DCLm4,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5202RA-,-DCL,BAL DMPR HLB2633ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5203RA-,-DCL,BAL DMPR HLB3135ZL,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5206RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5207RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5208RA-,-DCL,BAL DMPR HLB2634ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5209RA-,-DCL,BAL DMPR HLB2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5211RA-,-DCL,BAL DMPR HLB2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5212RA-,-DCL,BAL DMPR HLB3134ZL,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5213RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5214RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5216RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5217RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
