n.RepeFonct,ElemSys,n.LineRev,n.ComponentKind,n.Contrat,n.ActuKind,n.PSU_ECS1,n.PSU_Volt1,n.t_CloseReq,Type,n.ValvFailSfPositn,SGApp
-DCL5235RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5236RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5237RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5238RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5239RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5240RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5241RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5242RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5243RA-,-DCL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5244RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5245RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5246RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5247RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5250RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5251RA-,-DCL,I.3,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5253RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5254RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5258RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5259RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5260RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5261RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5262RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5265RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5266RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5267RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5268RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5269RA-,-DCL,I.3,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5271RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5272RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5273RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5274RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5277RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5279RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5280RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
